epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,1893.73,1.62083,0.87094,0.00333,0.81787,0.76015,0.83066,0.52922,1.46045,0.75165,0.00316,0.0001535,0.0001535,0.0001535
107,1911.79,1.61213,0.84662,0.00325,0.82664,0.75026,0.82249,0.53197,1.45332,0.73886,0.00315,0.0001502,0.0001502,0.0001502
108,1929.93,1.60223,0.85988,0.00326,0.82705,0.76187,0.82936,0.53676,1.45915,0.73435,0.00314,0.0001469,0.0001469,0.0001469
109,1948.09,1.61673,0.85699,0.00321,0.82654,0.75805,0.8296,0.53312,1.45381,0.73372,0.00307,0.0001436,0.0001436,0.0001436
110,1965.89,1.60724,0.83857,0.00319,0.84339,0.77425,0.8423,0.53651,1.45527,0.71752,0.00315,0.0001403,0.0001403,0.0001403
111,1983.57,1.60812,0.83846,0.00317,0.8113,0.80705,0.84407,0.54924,1.43578,0.71962,0.00307,0.000137,0.000137,0.000137
112,2001.2,1.58821,0.84655,0.00324,0.82931,0.78246,0.84009,0.54434,1.44881,0.7203,0.00313,0.0001337,0.0001337,0.0001337
113,2018.76,1.58228,0.82774,0.00344,0.78933,0.80842,0.8442,0.54177,1.44533,0.716,0.00311,0.0001304,0.0001304,0.0001304
114,2036.32,1.54617,0.82123,0.00308,0.83232,0.75966,0.83526,0.54251,1.43763,0.721,0.00303,0.0001271,0.0001271,0.0001271
115,2054.3,1.54784,0.81997,0.00319,0.84443,0.77044,0.84589,0.54153,1.43969,0.70439,0.00305,0.0001238,0.0001238,0.0001238
116,2072.22,1.54977,0.82207,0.0032,0.82669,0.76522,0.83247,0.53705,1.44614,0.71353,0.00305,0.0001205,0.0001205,0.0001205
117,2090.03,1.55475,0.81053,0.00326,0.82947,0.77797,0.83528,0.54404,1.44753,0.70782,0.00303,0.0001172,0.0001172,0.0001172
118,2107.73,1.58876,0.82857,0.00315,0.82399,0.77671,0.83876,0.54468,1.43574,0.69524,0.00301,0.0001139,0.0001139,0.0001139
119,2125.38,1.5601,0.83373,0.00329,0.84688,0.76684,0.84143,0.54325,1.43039,0.70643,0.00302,0.0001106,0.0001106,0.0001106
120,2142.95,1.54777,0.82328,0.00315,0.81456,0.78922,0.84033,0.55029,1.42471,0.6939,0.00306,0.0001073,0.0001073,0.0001073
121,2160.55,1.52859,0.79615,0.00316,0.82674,0.79274,0.84943,0.5569,1.41407,0.69508,0.00298,0.000104,0.000104,0.000104
122,2178.03,1.55812,0.78983,0.00306,0.81854,0.80405,0.84731,0.55382,1.42205,0.69716,0.00298,0.0001007,0.0001007,0.0001007
123,2195.59,1.59707,0.83143,0.00316,0.84735,0.7913,0.84922,0.55137,1.4234,0.68641,0.003,9.74e-05,9.74e-05,9.74e-05
124,2213.08,1.57313,0.80781,0.0031,0.85097,0.77034,0.85007,0.55766,1.40523,0.69094,0.00293,9.41e-05,9.41e-05,9.41e-05
125,2231.19,1.57988,0.82174,0.00308,0.82467,0.78403,0.84657,0.56036,1.40896,0.70256,0.00293,9.08e-05,9.08e-05,9.08e-05
126,2249.01,1.53995,0.81048,0.00306,0.82934,0.79042,0.84625,0.5587,1.40424,0.69107,0.00295,8.75e-05,8.75e-05,8.75e-05
127,2266.43,1.56339,0.83335,0.00311,0.81925,0.80677,0.84636,0.56007,1.40042,0.68385,0.00292,8.42e-05,8.42e-05,8.42e-05
128,2284.11,1.5499,0.78833,0.00313,0.81317,0.80584,0.85029,0.56286,1.40572,0.68499,0.00295,8.09e-05,8.09e-05,8.09e-05
129,2302.02,1.54809,0.79435,0.00296,0.85026,0.79776,0.85322,0.56249,1.41089,0.68298,0.00299,7.76e-05,7.76e-05,7.76e-05
130,2319.98,1.54323,0.79,0.003,0.85353,0.80068,0.85159,0.56146,1.40101,0.67776,0.00292,7.43e-05,7.43e-05,7.43e-05
131,2337.79,1.57127,0.81085,0.00297,0.83329,0.81273,0.8504,0.56479,1.39586,0.67415,0.00293,7.1e-05,7.1e-05,7.1e-05
132,2355.2,1.5503,0.78951,0.00306,0.85706,0.78039,0.851,0.56781,1.39793,0.66974,0.00289,6.77e-05,6.77e-05,6.77e-05
133,2372.76,1.55655,0.78455,0.00294,0.8235,0.7975,0.85557,0.56979,1.40095,0.67254,0.00291,6.44e-05,6.44e-05,6.44e-05
134,2390.29,1.51684,0.77805,0.00296,0.83383,0.79175,0.85331,0.56984,1.3926,0.67702,0.00289,6.11e-05,6.11e-05,6.11e-05
135,2408.36,1.52135,0.80781,0.00311,0.84727,0.80744,0.86277,0.56838,1.41186,0.67775,0.00301,5.78e-05,5.78e-05,5.78e-05
136,2425.52,1.44992,0.69254,0.00305,0.81529,0.79131,0.84779,0.55604,1.42111,0.70531,0.00298,5.45e-05,5.45e-05,5.45e-05
137,2442.35,1.4156,0.68102,0.00292,0.84745,0.77058,0.84569,0.55748,1.41586,0.69593,0.00298,5.12e-05,5.12e-05,5.12e-05
138,2459.05,1.41667,0.68295,0.00288,0.83563,0.79666,0.85349,0.56113,1.41562,0.6892,0.00301,4.79e-05,4.79e-05,4.79e-05
139,2475.67,1.43081,0.69652,0.00297,0.87114,0.78032,0.85625,0.56314,1.41898,0.69911,0.00297,4.46e-05,4.46e-05,4.46e-05
140,2492.5,1.41771,0.67581,0.003,0.87594,0.76798,0.85718,0.56396,1.4193,0.68985,0.00295,4.13e-05,4.13e-05,4.13e-05
141,2509.18,1.4339,0.68394,0.00295,0.8512,0.80206,0.8603,0.56402,1.42253,0.67544,0.00301,3.8e-05,3.8e-05,3.8e-05
142,2525.68,1.44258,0.68643,0.00286,0.87905,0.77883,0.86404,0.56848,1.41404,0.667,0.00297,3.47e-05,3.47e-05,3.47e-05
143,2542.26,1.4228,0.68221,0.00283,0.87337,0.79216,0.8637,0.56643,1.41149,0.6711,0.00296,3.14e-05,3.14e-05,3.14e-05
144,2558.87,1.42476,0.68399,0.0028,0.859,0.80441,0.86493,0.56811,1.41944,0.67707,0.003,2.81e-05,2.81e-05,2.81e-05
145,2575.43,1.41377,0.67078,0.00277,0.86856,0.79123,0.86249,0.56733,1.4199,0.67924,0.00299,2.48e-05,2.48e-05,2.48e-05
146,2592.15,1.43479,0.6769,0.00284,0.88216,0.77281,0.86111,0.56517,1.40431,0.67516,0.0029,2.15e-05,2.15e-05,2.15e-05
147,2608.87,1.42238,0.67648,0.00287,0.88784,0.76908,0.85878,0.56147,1.40179,0.67048,0.00288,1.82e-05,1.82e-05,1.82e-05
148,2625.51,1.41503,0.67631,0.00285,0.87729,0.77489,0.86033,0.56533,1.40451,0.67002,0.00291,1.49e-05,1.49e-05,1.49e-05
149,2642.21,1.39908,0.66317,0.00275,0.88851,0.77367,0.86119,0.56878,1.40437,0.6685,0.00292,1.16e-05,1.16e-05,1.16e-05
150,2659.07,1.41731,0.66097,0.00281,0.85808,0.79179,0.85995,0.56927,1.4023,0.67156,0.00291,8.3e-06,8.3e-06,8.3e-06
